ACSSF,MA,060,00,0000032,,,,,25,001,16775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500116775,"Dennis town, Barnstable County, Massachusetts",,,
ACSSF,MA,060,00,0000033,,,,,25,001,19295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500119295,"Eastham town, Barnstable County, Massachusetts",,,
ACSSF,MA,060,00,0000034,,,,,25,001,23105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500123105,"Falmouth town, Barnstable County, Massachusetts",,,
ACSSF,MA,060,00,0000035,,,,,25,001,29020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500129020,"Harwich town, Barnstable County, Massachusetts",,,
ACSSF,MA,060,00,0000036,,,,,25,001,39100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500139100,"Mashpee town, Barnstable County, Massachusetts",,,
ACSSF,MA,060,00,0000037,,,,,25,001,51440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500151440,"Orleans town, Barnstable County, Massachusetts",,,
ACSSF,MA,060,00,0000038,,,,,25,001,55500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500155500,"Provincetown town, Barnstable County, Massachusetts",,,
ACSSF,MA,060,00,0000039,,,,,25,001,59735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500159735,"Sandwich town, Barnstable County, Massachusetts",,,
ACSSF,MA,060,00,0000040,,,,,25,001,70605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500170605,"Truro town, Barnstable County, Massachusetts",,,
ACSSF,MA,060,00,0000041,,,,,25,001,74385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500174385,"Wellfleet town, Barnstable County, Massachusetts",,,
