,distance,lat,lon,place_id,status,time,geoid
4840,1130.912,37.7785277,-122.41541289999999,ChIJz9keeZuAhYAReI6zGGarJ90,OK,0,60750178022002
4841,1581.776,37.782275399999996,-122.41590590000001,ChIJRWZTfJqAhYARq21x_t0N6HY,OK,0,60750178022002
4842,426.039,37.782275399999996,-122.41590590000001,ChIJRWZTfJqAhYARq21x_t0N6HY,OK,0,60750125011006
4843,426.039,37.782275399999996,-122.41590590000001,ChIJRWZTfJqAhYARq21x_t0N6HY,OK,0,60750125011006
4844,574.847,37.7837565,-122.4150774,ChIJixGqZZCAhYARGkTWw9oIyOU,OK,0,60750125011006
4845,1204.221,37.782275399999996,-122.41590590000001,ChIJRWZTfJqAhYARq21x_t0N6HY,OK,0,60750176012004
4846,1265.251,37.7837565,-122.4150774,ChIJixGqZZCAhYARGkTWw9oIyOU,OK,0,60750176012004
4847,1265.251,37.7837565,-122.4150774,ChIJixGqZZCAhYARGkTWw9oIyOU,OK,0,60750176012004
4848,1023.1310000000001,37.782275399999996,-122.41590590000001,ChIJRWZTfJqAhYARq21x_t0N6HY,OK,0,60750178021007
4849,1084.16,37.7837565,-122.4150774,ChIJixGqZZCAhYARGkTWw9oIyOU,OK,0,60750178021007
4850,1084.16,37.7837565,-122.4150774,ChIJixGqZZCAhYARGkTWw9oIyOU,OK,0,60750178021007
4851,1394.576,37.782275399999996,-122.41590590000001,ChIJRWZTfJqAhYARq21x_t0N6HY,OK,0,60750178021011
4852,1394.576,37.782275399999996,-122.41590590000001,ChIJRWZTfJqAhYARq21x_t0N6HY,OK,0,60750178021011
4853,1455.605,37.7837565,-122.4150774,ChIJixGqZZCAhYARGkTWw9oIyOU,OK,0,60750178021011
4854,1551.8039999999999,37.782275399999996,-122.41590590000001,ChIJRWZTfJqAhYARq21x_t0N6HY,OK,0,60750180002034
4855,1551.8039999999999,37.782275399999996,-122.41590590000001,ChIJRWZTfJqAhYARq21x_t0N6HY,OK,0,60750180002034
4856,1550.749,37.7785277,-122.41541289999999,ChIJz9keeZuAhYAReI6zGGarJ90,OK,0,60750180002034
4857,419.92,37.7643888,-122.41986399999999,ChIJdUDZciN-j4ARg-KKqwR6iQo,OK,0,60750177002038
4858,419.92,37.7643888,-122.41986399999999,ChIJdUDZciN-j4ARg-KKqwR6iQo,OK,0,60750177002038
4859,610.872,37.7626968,-122.41936559999999,ChIJy4UyniN-j4AR3HAvTDsXtLs,OK,0,60750177002038
4860,1958.338,37.7785277,-122.41541289999999,ChIJz9keeZuAhYAReI6zGGarJ90,OK,0,60750177002026
4861,1455.6470000000002,37.7643888,-122.41986399999999,ChIJdUDZciN-j4ARg-KKqwR6iQo,OK,0,60750177002026
4862,1455.6470000000002,37.7643888,-122.41986399999999,ChIJdUDZciN-j4ARg-KKqwR6iQo,OK,0,60750177002026
4863,555.206,37.7643888,-122.41986399999999,ChIJdUDZciN-j4ARg-KKqwR6iQo,OK,0,60750177002041
4864,555.206,37.7643888,-122.41986399999999,ChIJdUDZciN-j4ARg-KKqwR6iQo,OK,0,60750177002041
4865,746.158,37.7626968,-122.41936559999999,ChIJy4UyniN-j4AR3HAvTDsXtLs,OK,0,60750177002041
4866,399.99,37.7588346,-122.4192642,ChIJZ2skEjx-j4AR8cpJVeAqQck,OK,0,60750228013003
4867,399.99,37.7588346,-122.4192642,ChIJZ2skEjx-j4AR8cpJVeAqQck,OK,0,60750228013003
4868,397.514,37.7601098,-122.41942900000001,ChIJseTdhzx-j4ARwkmVZhFvNqE,OK,0,60750228013003
4869,852.932,37.7626968,-122.41936559999999,ChIJy4UyniN-j4AR3HAvTDsXtLs,OK,0,60750228013000
4870,597.5319999999999,37.7601098,-122.41942900000001,ChIJseTdhzx-j4ARwkmVZhFvNqE,OK,0,60750228013000
4871,597.5319999999999,37.7601098,-122.41942900000001,ChIJseTdhzx-j4ARwkmVZhFvNqE,OK,0,60750228013000
4872,3349.505,37.73430140000001,-122.3911523,ChIJvUYCQgV_j4ARv1INWLUb4Lw,OK,0,60750259002012
4873,3349.505,37.73430140000001,-122.3911523,ChIJvUYCQgV_j4ARv1INWLUb4Lw,OK,0,60750259002012
4874,5468.669,37.752647100000004,-122.41348810000001,ChIJpU93zUd-j4ARZH1lnl6T0KM,OK,0,60750259002012
4875,3252.051,37.73430140000001,-122.3911523,ChIJvUYCQgV_j4ARv1INWLUb4Lw,OK,0,60750610002008
4876,3252.051,37.73430140000001,-122.3911523,ChIJvUYCQgV_j4ARv1INWLUb4Lw,OK,0,60750610002008
4877,5512.438,37.752683899999994,-122.40854669999999,ChIJ7TnlP0l-j4ARCfpOH2O75q0,OK,0,60750610002008
4878,600.644,37.73430140000001,-122.3911523,ChIJvUYCQgV_j4ARv1INWLUb4Lw,OK,0,60750231022001
4879,600.644,37.73430140000001,-122.3911523,ChIJvUYCQgV_j4ARv1INWLUb4Lw,OK,0,60750231022001
4880,3511.099,37.752683899999994,-122.40854669999999,ChIJ7TnlP0l-j4ARCfpOH2O75q0,OK,0,60750231022001
4881,1536.8210000000001,37.752683899999994,-122.40854669999999,ChIJ7TnlP0l-j4ARCfpOH2O75q0,OK,0,60750614001028
4882,1536.8210000000001,37.752683899999994,-122.40854669999999,ChIJ7TnlP0l-j4ARCfpOH2O75q0,OK,0,60750614001028
4883,1866.781,37.752647100000004,-122.41348810000001,ChIJpU93zUd-j4ARZH1lnl6T0KM,OK,0,60750614001028
4884,5642.589,37.7643888,-122.41986399999999,ChIJdUDZciN-j4ARg-KKqwR6iQo,OK,0,60750303011003
4885,5642.589,37.7643888,-122.41986399999999,ChIJdUDZciN-j4ARg-KKqwR6iQo,OK,0,60750303011003
4886,5833.541,37.7626968,-122.41936559999999,ChIJy4UyniN-j4AR3HAvTDsXtLs,OK,0,60750303011003
4887,4132.022,37.706641600000005,-122.45866129999999,ChIJl2Q-tzx8j4AR7ny002BJ6V0,OK,0,60750309003001
4888,4132.022,37.706641600000005,-122.45866129999999,ChIJl2Q-tzx8j4AR7ny002BJ6V0,OK,0,60750309003001
4889,6104.771,37.748873700000004,-122.41794490000001,ChIJi3p0qUZ-j4AR1u8Ct3AELG4,OK,0,60750309003001
4890,5764.986,37.7869982,-122.41982479999999,ChIJm-GdPZSAhYARw-Xd8qn-Fic,OK,0,60750601001119
4891,5764.986,37.7869982,-122.41982479999999,ChIJm-GdPZSAhYARw-Xd8qn-Fic,OK,0,60750601001119
4892,6468.387,37.7837565,-122.4150774,ChIJixGqZZCAhYARGkTWw9oIyOU,OK,0,60750601001119
4893,907.5139999999999,37.73430140000001,-122.3911523,ChIJvUYCQgV_j4ARv1INWLUb4Lw,OK,0,60750230031011
4894,907.5139999999999,37.73430140000001,-122.3911523,ChIJvUYCQgV_j4ARv1INWLUb4Lw,OK,0,60750230031011
4895,3998.8379999999997,37.752683899999994,-122.40854669999999,ChIJ7TnlP0l-j4ARCfpOH2O75q0,OK,0,60750230031011
4896,4193.813,37.706641600000005,-122.45866129999999,ChIJl2Q-tzx8j4AR7ny002BJ6V0,OK,0,60750332011008
4897,4193.813,37.706641600000005,-122.45866129999999,ChIJl2Q-tzx8j4AR7ny002BJ6V0,OK,0,60750332011008
4898,6940.085999999999,37.748873700000004,-122.41794490000001,ChIJi3p0qUZ-j4AR1u8Ct3AELG4,OK,0,60750332011008
4899,3120.1620000000003,37.752683899999994,-122.40854669999999,ChIJ7TnlP0l-j4ARCfpOH2O75q0,OK,0,60750607001061
4900,3120.1620000000003,37.752683899999994,-122.40854669999999,ChIJ7TnlP0l-j4ARCfpOH2O75q0,OK,0,60750607001061
4901,3223.855,37.7785277,-122.41541289999999,ChIJz9keeZuAhYAReI6zGGarJ90,OK,0,60750607001061
4902,5692.111,37.706641600000005,-122.45866129999999,ChIJl2Q-tzx8j4AR7ny002BJ6V0,OK,0,60750330004004
4903,5692.111,37.706641600000005,-122.45866129999999,ChIJl2Q-tzx8j4AR7ny002BJ6V0,OK,0,60750330004004
4904,6728.3640000000005,37.748873700000004,-122.41794490000001,ChIJi3p0qUZ-j4AR1u8Ct3AELG4,OK,0,60750330004004
4905,6778.634,37.7643888,-122.41986399999999,ChIJdUDZciN-j4ARg-KKqwR6iQo,OK,0,60750327004001
4906,6778.634,37.7643888,-122.41986399999999,ChIJdUDZciN-j4ARg-KKqwR6iQo,OK,0,60750327004001
4907,7050.318,37.7601098,-122.41942900000001,ChIJseTdhzx-j4ARwkmVZhFvNqE,OK,0,60750327004001
4908,6287.889,37.7643888,-122.41986399999999,ChIJdUDZciN-j4ARg-KKqwR6iQo,OK,0,60750326021007
4909,6287.889,37.7643888,-122.41986399999999,ChIJdUDZciN-j4ARg-KKqwR6iQo,OK,0,60750326021007
4910,6559.571999999999,37.7601098,-122.41942900000001,ChIJseTdhzx-j4ARwkmVZhFvNqE,OK,0,60750326021007
4911,8519.537,37.706641600000005,-122.45866129999999,ChIJl2Q-tzx8j4AR7ny002BJ6V0,OK,0,60750329022006
4912,8519.537,37.706641600000005,-122.45866129999999,ChIJl2Q-tzx8j4AR7ny002BJ6V0,OK,0,60750329022006
4913,8155.19,37.7601098,-122.41942900000001,ChIJseTdhzx-j4ARwkmVZhFvNqE,OK,0,60750329022006
4914,8225.072,37.706641600000005,-122.45866129999999,ChIJl2Q-tzx8j4AR7ny002BJ6V0,OK,0,60750329011007
4915,8225.072,37.706641600000005,-122.45866129999999,ChIJl2Q-tzx8j4AR7ny002BJ6V0,OK,0,60750329011007
4916,8664.767,37.7601098,-122.41942900000001,ChIJseTdhzx-j4ARwkmVZhFvNqE,OK,0,60750329011007
4917,8319.252,37.706641600000005,-122.45866129999999,ChIJl2Q-tzx8j4AR7ny002BJ6V0,OK,0,60750329011006
4918,8319.252,37.706641600000005,-122.45866129999999,ChIJl2Q-tzx8j4AR7ny002BJ6V0,OK,0,60750329011006
4919,8570.424,37.7601098,-122.41942900000001,ChIJseTdhzx-j4ARwkmVZhFvNqE,OK,0,60750329011006
4920,7385.0419999999995,37.706641600000005,-122.45866129999999,ChIJl2Q-tzx8j4AR7ny002BJ6V0,OK,0,60750329013005
4921,7385.0419999999995,37.706641600000005,-122.45866129999999,ChIJl2Q-tzx8j4AR7ny002BJ6V0,OK,0,60750329013005
4922,8517.687,37.7588346,-122.4192642,ChIJZ2skEjx-j4AR8cpJVeAqQck,OK,0,60750329013005
